возле	у
работ	дел
еда	корм
глазика	ушка
лес	бор
автомобиль	машина
без	с
нас	вас
так	тик
я	а
из	в
под	оп
уменьшался	рос
моно	поли
те	эти
маш	лен
ля	си
ар	га
ми	ре
эта	та
нева	дон
шепот	ор
расчет	смета
дай	на
два	три
кря	ко
кря	кар
на	под
ухо	нос
озер	рек
верблюд	лама
равнин	гор
обама	буш
на	по
жалоба	иск
бык	конь
ан	як
телега	воз
привидение	дух
пока	бай
презент	дар
ми	ка
рядом	у
пятерка	кол
ассорти	микс
ладья	тура
единица	пара
сахар	соль
а	о
удач	бед
взяв	дав
известняк	мел
или	и
слеп	глух
га	ар
ъ	ь
электричество	ток
до	си
коров	коз
краб	рак
шейки	ушка
с	на
пиво	водка
душа	тело
хоббит	хранитель
ку	кар
ту	ан
маш	даш
собака	кот
пил	ел
хоршо	ок
мяса	сала
кг	т
чин	сан
над	под
рэп	рок
виртуоз	ас
добр	лют
противен	мил
ил	ан
уток	кур
запятая	точка
кси	пи
один	сто
секунд	лет
ре	до
огорода	сада
стой	иди
к	от
водка	вино
снег	град
перед	за
лоб	чело
столетие	век
братве	банде
амплуя	роль
двое	пара
ковчег	ноя
ты	я
дискотека	бал
жигули	лада
у	при
величин	мер
лодка	бот
о	а
хит	топ
им	нам
дрель	бур
жар	пыл
ё	е
помощь	сос
ангел	бес
рука	конечность
счастье	беда
схема	план
тот	та
машина	авто
блокировка	бан
дама	кавалер
много	мало
веков	лет
ан	ка
коньяк	ром
дерганье	тик
падеж	мор
тур	як
латок	дыр
рожон	кол
два	раз
акцент	говор
дассен	джо
ставка	кон
нет	да
от	к
тань	лен
ствола	дула
ствол	дуло
ли	брюс
вместе	с
пихта	ель
комаров	мух
скромна	бойка
комар	муха
бел	сер
сверху	над
микросхема	чип
потолок	пол
тпру	но
буйвол	вол
да винчи	код
ва	ав
год	век
насыпь	ров
стопок	кип
напряжение	ток
гетеро	би
однако	но
сотка	ар
до	ми
фуа	гра
франк	су
вяжи	тки
гол	пас
причал	порт
краска	цвет
про	о
навстречу	к
верди	бах
ща	ча
бетховен	бах
флаг	гимн
европа	азия
кипяток	пар
ява	иж
кафе	бар
велик	мал
ему	ей
бык	вол
жуки	осы
колбаса	ливер
стрел	пуль
пчелы	осы
пчела	оса
пчел	ос
борода	ус
нива	лада
макияж	грим
неуч	ас
паскаль	па
навес	тент
заяц	лев
цыц	ша
иранец	перс
свет	тень
шах	мат
орел	решка
пес	кот
зимы	лета
добр	зол
к	о
про	то
против	за
он	но
сложно	просто
наша	ваша
надь	вер
это	то
зим	лет
бокал	стакан
логин	ник
мандарин	лимон
рай	ад
ночь	день
куб	шар
рая	ада
люстра	бра
ног	рук
перечень	опись
незнайка	знайка
тьма	свет
рожы	лица
барану	козе
хвост	рог
гречка	манка
кофе	чай
имя	ник
олень	лось
ты	он
хвала	ода
я	ты
кря	ква
двойка	пара
барон	граф
эти	те
ампер	ом
бастион	форт
стих	ода
плойка	фен
зет	икс
игрек	икс
ал	ла
наш	ваш
сладко	кисло
клан	род
ряска	тина
рык	вой
под	на
тарелок	блюд
вставай	спи
компот	сок
колес	шин
дуб	ель
чарли	шин
ожегов	даль
джин	тоник
повесть	роман
ор	ро
масса	вес
унция	пуд
преступник	вор
объем	вес
копыта	рога
икона	лик
штора	тюль
господин	пан
ля	ре
помада	тушь
так	как
раю	аду
сугроб	ком
иб	би
народ	нация
хелп	сос
по	на
лиза	мона
укради	стырь
оп	по
месяцев	недель
рассвет	заря
тут	там
здесь	там
холера	корь
вас	нас
двойка	тройка
пивная	бар
авоська	сетка
флейта	труба
идиоток	дур
боцман	кок
продай	купи
волгу	дон
трусы	майка
она	он
повар	кок
холмов	гор
арбуз	дыня
куку	кар
верх	низ
ходьба	бег
комплименты	маты
мяу	пи
пьяна	трезв
вокзал	порт
рембрандт	моне
безделье	работа
кощей	яга
баба	яга
телега	арба
дней	лет
шаг	па
морд	харь
трудно	просто
хрюша	филя
тире	точка
дональд	дак
стон	вой
холоп	пан
билеты	талоны
промах	гол
зло	добро
этот	та
верхушка	топ
крик	ор
пере	недо
роща	бор
возле	при
битва	бой
глаз	око
рожи	лица
стержень	ось
ре	ми
рук	ног
до	ре
кассета	диск
нечет	чет
ешь	пей
квитанция	чек
петька	анка
3.14	пи
ваз	газ
мадам	масс
печень	почки
альт	таб
морды	лица
холод	тепло
движение	ход
ре	фа
канистра	бак
наказание	кара
мастер	ас
престол	трон
театр	кино
картинка	фото
барин	граф
д	т
какаду	ара
гектар	га
куча	кипа
гречка	рис
шипение	свист
гуд	ок
эпидемия	мор
суп	щи
гор	скал
клево	супер
линий	черт
алы	ани
алле	опа
рот	нос
тормоз	газ
жирный	худой
конец	начало
гнил	прел
для	ради
сфера	тор
эдгар	по
арбитраж	суд
крыша	навес
предоставит	даст
жирное	худой
кабальеро	рыцарь
со	без
жилплощадь	дом
насчет	о
поля	луга
столов	парт
нектар	мед
около	у
ниро	де
